company,domain,skill
Google,Frontend,JavaScript
Google,Frontend,React
Google,Frontend,CSS
Google,Frontend,HTML
Amazon,Data,Tableau
Amazon,Data,Power BI
Amazon,Data,SQL
Amazon,Data,Excel
Microsoft,Cloud,Docker
Microsoft,Cloud,AWS
Microsoft,Cloud,Kubernetes
Microsoft,Cloud,Azure
Apple,Data,Excel
Apple,Data,Power BI
Apple,Data,Tableau
Apple,Data,SQL
Meta,AI,Artificial Intelligence
Meta,AI,Deep Learning
Meta,AI,Python
Meta,AI,Data Analysis
Meta,AI,Machine Learning
Netflix,Backend,Spring Boot
Netflix,Backend,Java
Netflix,Backend,Node.js
IBM,Data,SQL
IBM,Data,Python
IBM,Data,Power BI
IBM,Data,Tableau
Oracle,Backend,Java
Oracle,Backend,Spring Boot
Oracle,Backend,SQL
Oracle,Backend,Node.js
Intel,AI,Deep Learning
Intel,AI,Artificial Intelligence
Intel,AI,Python
Intel,AI,Data Analysis
Nvidia,Cloud,DevOps
Nvidia,Cloud,Kubernetes
Nvidia,Cloud,AWS
Nvidia,Cloud,Azure
Nvidia,Cloud,Docker
Salesforce,Backend,Java
Salesforce,Backend,SQL
Salesforce,Backend,Node.js
Salesforce,Backend,Spring Boot
Adobe,Cloud,Docker
Adobe,Cloud,DevOps
Adobe,Cloud,AWS
Adobe,Cloud,Azure
Adobe,Cloud,Kubernetes
Uber,Backend,Node.js
Uber,Backend,SQL
Uber,Backend,Spring Boot
Airbnb,Data,Power BI
Airbnb,Data,Python
Airbnb,Data,Excel
Airbnb,Data,Tableau
Accenture,Frontend,HTML
Accenture,Frontend,CSS
Accenture,Frontend,React
TCS,AI,Artificial Intelligence
TCS,AI,Deep Learning
TCS,AI,Data Analysis
TCS,AI,Machine Learning
TCS,AI,Python
Infosys,Cloud,AWS
Infosys,Cloud,DevOps
Infosys,Cloud,Azure
Wipro,AI,Machine Learning
Wipro,AI,Data Analysis
Wipro,AI,Artificial Intelligence
HCL,Frontend,CSS
HCL,Frontend,HTML
HCL,Frontend,React
HCL,Frontend,JavaScript
Capgemini,AI,Data Analysis
Capgemini,AI,Artificial Intelligence
Capgemini,AI,Machine Learning
Capgemini,AI,Python
Cognizant,Backend,Node.js
Cognizant,Backend,SQL
Cognizant,Backend,Java
Zoho,Backend,Spring Boot
Zoho,Backend,Node.js
Zoho,Backend,SQL
Flipkart,AI,Deep Learning
Flipkart,AI,Machine Learning
Flipkart,AI,Python
Flipkart,AI,Artificial Intelligence
Paytm,AI,Machine Learning
Paytm,AI,Python
Paytm,AI,Artificial Intelligence
Paytm,AI,Data Analysis
Paytm,AI,Deep Learning
Byju's,Cloud,Azure
Byju's,Cloud,AWS
Byju's,Cloud,DevOps
Byju's,Cloud,Docker
Byju's,Cloud,Kubernetes
SAP,Cloud,Azure
SAP,Cloud,AWS
SAP,Cloud,Kubernetes
SAP,Cloud,Docker
Dell,Cloud,DevOps
Dell,Cloud,Azure
Dell,Cloud,AWS
Dell,Cloud,Kubernetes
Dell,Cloud,Docker
HP,AI,Machine Learning
HP,AI,Deep Learning
HP,AI,Python
HP,AI,Artificial Intelligence
Cisco,Backend,SQL
Cisco,Backend,Spring Boot
Cisco,Backend,Node.js
Samsung,Data,Python
Samsung,Data,Tableau
Samsung,Data,SQL
Sony,Backend,Node.js
Sony,Backend,Spring Boot
Sony,Backend,Java
Qualcomm,Data,Excel
Qualcomm,Data,Power BI
Qualcomm,Data,SQL
Vertex Software Group,AI,Artificial Intelligence
Vertex Software Group,AI,Data Analysis
Vertex Software Group,AI,Machine Learning
Skyline Software Systems,AI,Artificial Intelligence
Skyline Software Systems,AI,Python
Skyline Software Systems,AI,Data Analysis
Skyline Software Systems,AI,Machine Learning
Vertex Systems Inc,Data,Python
Vertex Systems Inc,Data,SQL
Vertex Systems Inc,Data,Tableau
